order_id,order_date,order_customer_id,order_status
201,2013-07-26 00:00:00.0,9055,CLOSED
202,2013-07-26 00:00:00.0,8524,PENDING_PAYMENT
203,2013-07-26 00:00:00.0,11791,PENDING_PAYMENT
204,2013-07-26 00:00:00.0,7604,PENDING_PAYMENT
205,2013-07-26 00:00:00.0,3109,PROCESSING
206,2013-07-26 00:00:00.0,8994,PENDING
207,2013-07-26 00:00:00.0,11643,COMPLETE
208,2013-07-26 00:00:00.0,7923,PROCESSING
209,2013-07-26 00:00:00.0,3627,PENDING
210,2013-07-26 00:00:00.0,10102,COMPLETE
211,2013-07-26 00:00:00.0,10372,CLOSED
212,2013-07-26 00:00:00.0,3190,PENDING
213,2013-07-26 00:00:00.0,11715,CLOSED
214,2013-07-26 00:00:00.0,3925,COMPLETE
215,2013-07-26 00:00:00.0,5925,CLOSED
216,2013-07-26 00:00:00.0,7282,PENDING
217,2013-07-26 00:00:00.0,5420,PROCESSING
218,2013-07-26 00:00:00.0,3935,COMPLETE
219,2013-07-26 00:00:00.0,10655,PROCESSING
220,2013-07-26 00:00:00.0,1383,COMPLETE
221,2013-07-26 00:00:00.0,11871,CLOSED
222,2013-07-26 00:00:00.0,8309,CLOSED
223,2013-07-26 00:00:00.0,9068,PENDING
224,2013-07-26 00:00:00.0,11938,CLOSED
225,2013-07-26 00:00:00.0,11275,COMPLETE
226,2013-07-26 00:00:00.0,9356,PENDING_PAYMENT
227,2013-07-26 00:00:00.0,7410,CLOSED
228,2013-07-26 00:00:00.0,6070,ON_HOLD
229,2013-07-26 00:00:00.0,618,PENDING
230,2013-07-26 00:00:00.0,4921,PENDING_PAYMENT
231,2013-07-26 00:00:00.0,3960,COMPLETE
232,2013-07-26 00:00:00.0,1780,PENDING_PAYMENT
233,2013-07-26 00:00:00.0,12316,COMPLETE
234,2013-07-26 00:00:00.0,1010,ON_HOLD
235,2013-07-26 00:00:00.0,4285,PENDING_PAYMENT
236,2013-07-26 00:00:00.0,9785,COMPLETE
237,2013-07-26 00:00:00.0,11438,PENDING_PAYMENT
238,2013-07-26 00:00:00.0,4939,PENDING_PAYMENT
239,2013-07-26 00:00:00.0,5058,COMPLETE
240,2013-07-26 00:00:00.0,32,PENDING
241,2013-07-26 00:00:00.0,948,CLOSED
242,2013-07-26 00:00:00.0,3237,PAYMENT_REVIEW
243,2013-07-26 00:00:00.0,32,ON_HOLD
244,2013-07-26 00:00:00.0,6910,PENDING_PAYMENT
245,2013-07-26 00:00:00.0,5191,CLOSED
246,2013-07-26 00:00:00.0,9616,SUSPECTED_FRAUD
247,2013-07-26 00:00:00.0,173,COMPLETE
248,2013-07-26 00:00:00.0,11707,COMPLETE
249,2013-07-26 00:00:00.0,7650,CLOSED
250,2013-07-26 00:00:00.0,11668,COMPLETE
251,2013-07-26 00:00:00.0,568,PENDING
252,2013-07-26 00:00:00.0,9708,COMPLETE
253,2013-07-26 00:00:00.0,45,COMPLETE
254,2013-07-26 00:00:00.0,9395,COMPLETE
255,2013-07-26 00:00:00.0,10346,COMPLETE
256,2013-07-26 00:00:00.0,4199,CLOSED
257,2013-07-26 00:00:00.0,3273,PROCESSING
258,2013-07-26 00:00:00.0,1137,COMPLETE
259,2013-07-26 00:00:00.0,3454,COMPLETE
260,2013-07-26 00:00:00.0,5135,CLOSED
261,2013-07-26 00:00:00.0,5128,COMPLETE
262,2013-07-26 00:00:00.0,11475,CLOSED
263,2013-07-26 00:00:00.0,8026,COMPLETE
264,2013-07-26 00:00:00.0,230,COMPLETE
265,2013-07-26 00:00:00.0,488,PENDING_PAYMENT
266,2013-07-26 00:00:00.0,11085,COMPLETE
267,2013-07-26 00:00:00.0,6989,CLOSED
268,2013-07-26 00:00:00.0,5578,CLOSED
269,2013-07-26 00:00:00.0,11887,PROCESSING
270,2013-07-26 00:00:00.0,5689,COMPLETE
271,2013-07-26 00:00:00.0,815,COMPLETE
272,2013-07-26 00:00:00.0,428,CLOSED
273,2013-07-26 00:00:00.0,10665,PENDING_PAYMENT
